status,source,destination_or_error
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\05-Dai-Bat-Niet-Ban-la-the-nao1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\05-Dai-Bat-Niet-Ban-la-the-nao1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\05-Dai-Bat-Niet-Ban-la-the-nao1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\05-Dai-Bat-Niet-Ban-la-the-nao1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\05-Dai-Bat-Niet-Ban-la-the-nao1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\05-Dai-Bat-Niet-Ban-la-the-nao1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\06-Nghia-thu-ba-cua-Niet-ban-la-Dai-Vien-Tich-Nhap-ra-sao1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\06-Nghia-thu-ba-cua-Niet-ban-la-Dai-Vien-Tich-Nhap-ra-sao1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\06-Nghia-thu-ba-cua-Niet-ban-la-Dai-Vien-Tich-Nhap-ra-sao1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\06-Nghia-thu-ba-cua-Niet-ban-la-Dai-Vien-Tich-Nhap-ra-sao1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\06-Nghia-thu-ba-cua-Niet-ban-la-Dai-Vien-Tich-Nhap-ra-sao1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\06-Nghia-thu-ba-cua-Niet-ban-la-Dai-Vien-Tich-Nhap-ra-sao1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\07-Sau-dieu-kho-khi-hoc-kinh-Dai-Bat-Niet-Ban1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\07-Sau-dieu-kho-khi-hoc-kinh-Dai-Bat-Niet-Ban1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\07-Sau-dieu-kho-khi-hoc-kinh-Dai-Bat-Niet-Ban1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\07-Sau-dieu-kho-khi-hoc-kinh-Dai-Bat-Niet-Ban1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\08-Nhu-Lai-khong-thuong-ai-het-Dung-lam-Nhu-Lai-thuong-chung-sanh-nhu-con-mot1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\08-Nhu-Lai-khong-thuong-ai-het-Dung-lam-Nhu-Lai-thuong-chung-sanh-nhu-con-mot1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\08-Nhu-Lai-khong-thuong-ai-het-Dung-lam-Nhu-Lai-thuong-chung-sanh-nhu-con-mot1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\08-Nhu-Lai-khong-thuong-ai-het-Dung-lam-Nhu-Lai-thuong-chung-sanh-nhu-con-mot1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\08-Nhu-Lai-khong-thuong-ai-het-Dung-lam-Nhu-Lai-thuong-chung-sanh-nhu-con-mot1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\08-Nhu-Lai-khong-thuong-ai-het-Dung-lam-Nhu-Lai-thuong-chung-sanh-nhu-con-mot1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\07-Sau-dieu-kho-khi-hoc-kinh-Dai-Bat-Niet-Ban1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\07-Sau-dieu-kho-khi-hoc-kinh-Dai-Bat-Niet-Ban1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\09-Y-nghia-Ung-hoa-than-Bao-than-Phap-than-Phat1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\09-Y-nghia-Ung-hoa-than-Bao-than-Phap-than-Phat1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\09-Y-nghia-Ung-hoa-than-Bao-than-Phap-than-Phat1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\09-Y-nghia-Ung-hoa-than-Bao-than-Phap-than-Phat1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\09-Y-nghia-Ung-hoa-than-Bao-than-Phap-than-Phat1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\09-Y-nghia-Ung-hoa-than-Bao-than-Phap-than-Phat1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\10-Gioi-thieu-Pham-Tua-kinh-DBNB1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\10-Gioi-thieu-Pham-Tua-kinh-DBNB1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\10-Gioi-thieu-Pham-Tua-kinh-DBNB1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\10-Gioi-thieu-Pham-Tua-kinh-DBNB1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\10-Gioi-thieu-Pham-Tua-kinh-DBNB1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\10-Gioi-thieu-Pham-Tua-kinh-DBNB1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\11-Lam-cach-nao-trong-1-ngay-1-dem-Phat-giang-xong-kinh-DBNB1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\11-Lam-cach-nao-trong-1-ngay-1-dem-Phat-giang-xong-kinh-DBNB1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\11-Lam-cach-nao-trong-1-ngay-1-dem-Phat-giang-xong-kinh-DBNB1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\11-Lam-cach-nao-trong-1-ngay-1-dem-Phat-giang-xong-kinh-DBNB1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\11-Lam-cach-nao-trong-1-ngay-1-dem-Phat-giang-xong-kinh-DBNB1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\11-Lam-cach-nao-trong-1-ngay-1-dem-Phat-giang-xong-kinh-DBNB1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\12-Y-nghia-10-duc-hieu-cua-duc-Phat1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\12-Y-nghia-10-duc-hieu-cua-duc-Phat1.vi.txt
